TEAM,lat,lon,EASTorWEST,addr,GP,W,L,winrate,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Golden State Warriors,37.47,-121.13,West,GSW,15,13,2,0.867,48.3,114.5,41.7,88.1,47.4,15,42.3,35.5,16,20.3,78.7,9.8,37.8,47.6,29.7,15.9,10.3,4.9,3.4,19.3,17.9,13.7
Phoenix Suns,33.142,-112.0435,West,PHX,14,11,3,0.786,48,110.6,42,89.9,46.7,11.2,32.1,34.9,15.4,19.6,78.2,8.9,37.1,46,26.3,13.1,9.4,5,3.8,19,19.4,5.6
Brooklyn Nets,41.23,-74.71,East,BKN,16,11,5,0.688,48,107.9,39,84.1,46.4,13.5,35.1,38.4,16.4,20.6,79.9,7.3,37.2,44.4,25.1,14.8,6.9,4.9,5,18.8,19.9,3.9
Miami Heat,26.4889689,-81.2264393,East,MIA,16,11,5,0.688,48.6,110.4,40.5,87.4,46.4,11.8,33.5,35.3,17.6,21.3,82.4,11,36.5,47.5,24.3,14.6,7.6,2.4,4.9,20.6,19.9,8.1
Chicago Bulls,41.51,-88.79,East,CHI,15,10,5,0.667,48,108.5,40.5,86.5,46.8,10.5,27.9,37.5,16.9,20,84.7,8.7,34.5,43.1,23.1,13.5,8.7,4.9,4.9,18,17.4,5.1
Utah Jazz,40.47,-111.58,West,UTH,15,10,5,0.667,48,111.4,39.9,85.8,46.5,14.1,42.1,33.4,17.6,22.5,78.3,10.2,37,47.2,21.7,15.5,7.8,5.5,4.2,18.9,20.5,9.1
Washington Wizards,38.93,-76.518999,East,WAS,15,10,5,0.667,49,106.2,39.8,87,45.7,10.8,32.7,33,15.8,20.1,78.7,8.5,38.3,46.7,23.5,13.7,6.9,5.5,4.5,18.1,18.9,2.6
Dallas Mavericks,32.7801399,-96.8004511,West,DAL,14,9,5,0.643,48,104.5,38.9,88.4,43.9,13.3,38.8,34.3,13.5,18.7,72.1,10,35.9,45.9,22.6,12.2,6.9,4.4,4.9,18.9,18.2,-1.1
Denver Nuggets,39.737567,-104.9847179,West,DEN,15,9,6,0.6,48,102.6,39.9,87,45.9,11,35.1,31.3,11.7,15.9,73.9,9.5,35.5,45,23.8,14,7.9,4.2,4.9,18.2,18.4,3.4
LA Clippers,34.55349,-117.245323,West,LAC,15,9,6,0.6,48,108.3,40.1,89.1,45,13.8,38.5,35.9,14.4,17.7,81.2,8.5,36.5,45,23.3,14.6,8.9,4.9,4.5,17.2,18.9,4.7
Charlotte Hornets,36.09931,-80.817799,East,CHA,16,9,7,0.563,48.6,112.3,42.1,94.1,44.8,13.2,35.7,37,14.8,20.3,72.9,11.3,34.4,45.7,26.2,13.6,9.3,4.9,5.6,18.7,18.8,-1.1
Philadelphia 76ers,40.252335,-76.163789,East,PHI,16,9,7,0.563,48,107.9,40.3,86.1,46.7,12.3,33,37.3,15.1,18.4,82,8.9,33.3,42.3,22.8,12.4,7.8,5.9,4.6,17.9,17.3,2.3
Memphis Grizzlies,35.749681,-89.04892,West,MEM,15,8,7,0.533,48.7,110.5,42.5,94.8,44.9,12.3,36.1,34,13.2,17.2,76.7,12.9,34.8,47.7,25.3,13.7,10,6.1,6.1,18.1,17.5,-2.6
New York Knicks,40.71455,-74.007124,East,NYK,15,8,7,0.533,48.7,107.7,39.4,88.7,44.4,13.9,38.3,36.4,14.9,20,74.7,10.7,35.3,45.9,22.1,13.9,6.9,6.1,4.7,18.5,19,0.5
Cleveland Cavaliers,40.640475,-82.582569,East,CLE,17,9,8,0.529,48,101.7,37.8,84.4,44.7,11.2,33.9,33.2,14.9,19.5,76.5,10.4,33.6,43.9,23.6,16.2,7.9,3.6,4.8,15.7,18.3,0
Los Angeles Lakers,33.05349,-116.245323,West,LAL,16,8,8,0.5,48.9,109.3,41.4,90.1,45.9,11.6,33.5,34.7,14.9,20.1,74.5,10,36.3,46.3,23.9,17.1,8.9,6,3.2,19.9,19,-2.9
Portland Trail Blazers,44.52186,-122.882594,West,POR,16,8,8,0.5,48,109.4,40.4,88.6,45.6,13.8,39.2,35.2,14.8,18.9,78.2,10.6,35.6,46.3,23.6,14.1,8.1,4.8,4,18.4,18.9,0.3
Boston Celtics,42.3584308,-71.0597732,East,BOS,15,7,8,0.467,50,106.7,39.5,89.8,43.9,11.8,36.5,32.3,15.9,20.1,79.4,10.5,35.3,45.8,22.6,14.6,8.1,6,4.9,18.7,19.2,0.3
Milwaukee Bucks,43.241809,-88.906837,East,MIL,15,7,8,0.467,48.3,107.9,39.8,90.1,44.2,14.5,41,35.3,13.9,18.9,73.2,9.9,35.3,45.2,22,13.9,7.7,4.3,5.3,17.5,18,-1.3
Atlanta Hawks,33.46,-84.25,East,ATL,16,7,9,0.438,48,109,41.1,90.1,45.6,11.7,32,36.5,15.2,19.3,78.9,11.1,35.2,46.3,23.3,12.8,6.8,3.8,4.8,17.8,19.9,-0.5
Toronto Raptors,44.391,-80.53,East,TOR,16,7,9,0.438,48,105.8,40,91.2,43.9,10.9,32.2,34,14.8,18.9,78.5,13.4,31,44.4,20.8,13,10.3,4.2,6.3,18.6,17.2,-0.3
Oklahoma City Thunder,35.29,-97.49,West,OKC,14,6,8,0.429,48,98.8,36.6,88.8,41.3,11.5,37.7,30.5,14,18.9,74.2,10.4,37.4,47.7,20,15.3,7.4,4.6,6.1,17.1,17.3,-7.1
Minnesota Timberwolves,43.979031,-94.264931,West,MIN,15,6,9,0.4,48.3,104.9,38.4,91.6,41.9,14.3,43.1,33.3,13.7,17.8,77.2,12.9,32,44.9,23.5,16.7,9,6.1,5.7,22.5,18.7,-1.4
Sacramento Kings,39.915291,-122.594651,West,SAC,15,6,9,0.4,48,110.7,40.9,90.1,45.4,12.3,35.7,34.6,16.5,20.8,79.2,10.2,35.1,45.3,23.1,14.6,7.1,5.1,5.2,19.9,18.7,0.2
Indiana Pacers,39.766911,-86.149963,East,IND,16,6,10,0.375,48.6,106.3,40.7,87.9,46.3,12.1,35.4,34.2,12.8,17,75.4,9.8,35.7,45.5,23.1,15.8,6.9,6.4,4.7,20.9,18.3,-0.4
Detroit Pistons,42.408871,-85.002647,East,DET,14,4,10,0.286,48,98.2,35.6,87.2,40.8,10.7,36.4,29.5,16.4,21.3,76.8,11.4,31,42.4,21.4,15.7,8.8,4.9,5.2,18.6,19.6,-9.4
Orlando Magic,28.33,-81.2,East,ORL,15,4,11,0.267,48,100.2,36.6,87.8,41.7,12.7,38.5,33,14.3,18.8,75.9,10.4,34.6,45,21.6,16.2,6.6,5.1,5.3,20.3,18.3,-9.1
San Antonio Spurs,29.4241219,-98.4936282,West,SAS,15,4,11,0.267,48.3,107.1,42.7,92.3,46.2,10.1,29.3,34.5,11.7,16.8,69.4,9.1,34.6,43.7,28.1,13.4,8.9,5.2,5.9,16.7,18.2,-2.5
New Orleans Pelicans,30.1,-91.2,West,NOP,16,2,14,0.125,48,101.8,37.1,87.8,42.3,11.3,33.4,33.6,16.3,20.1,80.7,11.7,33.3,45,23.3,15.6,6.9,4.4,4.9,20.2,18.9,-9.6
Houston Rockets,30.46,-95.23,West,HOU,15,1,14,0.067,48,100.9,36.5,85.7,42.6,11.1,35.1,31.7,16.7,24.2,69.1,9.8,35.6,45.4,20.3,18.8,7.7,4.5,6.2,19.5,22.2,-11.1
